model_id,ablation_name,condition,accuracy,macro_f1,weighted_f1,uar,inference_latency_ms,evidence_level
B1,audio_only,missing_modality_20pct,0.8417,0.8147,0.8488,0.8439,0.3862,synthetic_placeholder_benchmark
B1,audio_only,nominal,0.95,0.9178,0.9516,0.9561,0.3906,synthetic_placeholder_benchmark
B1,context_only,missing_modality_20pct,0.8583,0.8532,0.8647,0.8614,0.362,synthetic_placeholder_benchmark
B1,context_only,nominal,0.975,0.9636,0.9753,0.9817,0.3645,synthetic_placeholder_benchmark
B1,video_audio,missing_modality_20pct,0.8833,0.8889,0.8889,0.8806,0.3844,synthetic_placeholder_benchmark
B1,video_audio,nominal,0.9917,0.9928,0.9916,0.9919,0.3822,synthetic_placeholder_benchmark
B1,video_audio_context,missing_modality_20pct,0.8917,0.8946,0.895,0.8877,0.3964,synthetic_placeholder_benchmark
B1,video_audio_context,nominal,1.0,1.0,1.0,1.0,0.4024,synthetic_placeholder_benchmark
B1,video_only,missing_modality_20pct,0.875,0.8815,0.8809,0.8716,0.3765,synthetic_placeholder_benchmark
B1,video_only,nominal,0.9917,0.9928,0.9916,0.9919,0.3641,synthetic_placeholder_benchmark
B2,audio_only,missing_modality_20pct,0.8,0.6133,0.7839,0.631,0.2342,synthetic_placeholder_benchmark
B2,audio_only,nominal,0.9,0.6905,0.8763,0.7016,0.2304,synthetic_placeholder_benchmark
B2,context_only,missing_modality_20pct,0.7917,0.6054,0.7762,0.623,0.2302,synthetic_placeholder_benchmark
B2,context_only,nominal,0.8917,0.6818,0.8675,0.6935,0.2452,synthetic_placeholder_benchmark
B2,video_audio,missing_modality_20pct,0.8333,0.6314,0.8076,0.6457,0.2324,synthetic_placeholder_benchmark
B2,video_audio,nominal,0.8417,0.6322,0.8105,0.6452,0.2349,synthetic_placeholder_benchmark
B2,video_audio_context,missing_modality_20pct,0.875,0.6717,0.8537,0.6946,0.2416,synthetic_placeholder_benchmark
B2,video_audio_context,nominal,0.9417,0.7929,0.9277,0.7755,0.2407,synthetic_placeholder_benchmark
B2,video_only,missing_modality_20pct,0.8,0.6139,0.7844,0.631,0.2332,synthetic_placeholder_benchmark
B2,video_only,nominal,0.9,0.6918,0.8776,0.7016,0.2334,synthetic_placeholder_benchmark
B3,audio_only,missing_modality_20pct,0.8583,0.8691,0.8656,0.8596,0.1285,synthetic_placeholder_benchmark
B3,audio_only,nominal,0.9667,0.9717,0.9668,0.9718,0.1267,synthetic_placeholder_benchmark
B3,context_only,missing_modality_20pct,0.8417,0.7899,0.8479,0.7781,0.1273,synthetic_placeholder_benchmark
B3,context_only,nominal,0.9583,0.9073,0.9579,0.8984,0.1268,synthetic_placeholder_benchmark
B3,video_audio,missing_modality_20pct,0.8917,0.8942,0.8962,0.8837,0.1286,synthetic_placeholder_benchmark
B3,video_audio,nominal,0.9833,0.9857,0.9832,0.9839,0.135,synthetic_placeholder_benchmark
B3,video_audio_context,missing_modality_20pct,0.8333,0.8467,0.8386,0.8395,0.1287,synthetic_placeholder_benchmark
B3,video_audio_context,nominal,0.9583,0.9647,0.9585,0.9669,0.128,synthetic_placeholder_benchmark
B3,video_only,missing_modality_20pct,0.8667,0.8755,0.8733,0.8658,0.1283,synthetic_placeholder_benchmark
B3,video_only,nominal,0.9833,0.9859,0.9833,0.9861,0.1316,synthetic_placeholder_benchmark
